Unnamed: 0,id,league_id,home_team,away_team,home_team_name,away_team_name,home_goals,away_goals,home_team_players_name,home_team_players_id,away_team_players_name,away_team_players_id
0,18867411,384,585,102,Cagliari,Genoa,2,1,"['Edoardo Goldaniga', 'Alberto Dossena', 'Marco Mancosu', 'Matteo Prati', 'Pantelis Chatzidiakos', 'Gaetano Oristanio', 'Jakub Jankto', 'Simone Scuffet', 'Tommaso Augello', 'Antoine Makoumbou', 'Zito Luvumbo']","[129860, 133218, 128294, 37565251, 26719, 23288059, 129824, 129635, 366753, 540694, 37341868]","['Josep Martínez', 'Aarón Martín', 'Koni De Winter', 'Radu Drăguşin', 'Kevin Strootman', 'Albert Guðmundsson', 'Ruslan Malinovskyi', 'Stefano Sabelli', 'Johan Vásquez', 'Morten Frendrup', 'Milan Badelj']","[529414, 186983, 37316934, 23715982, 23596, 28454, 62872, 131637, 1525399, 11705287, 31670]"
1,18867410,384,8513,43,Bologna,Lazio,1,0,"['Stefan Posch', 'Riccardo Orsolini', 'Remo Freuler', 'Joshua Zirkzee', 'Lewis Ferguson', 'Michel Aebischer', 'Charalampos Lykogiannis', 'Łukasz Skorupski', 'Sam Beukema', 'Riccardo Calafiori', 'Alexis Saelemaekers']","[33770, 132126, 130145, 9605680, 6648042, 198220, 52794, 129418, 3187861, 23278684, 538861]","['Patric', 'Felipe Anderson', 'Mattéo Guendouzi', 'Pedro', 'Luis Alberto', 'Alessio Romagnoli', 'Valentin Castellanos', 'Manuel Lazzari', 'Nicolò Rovella', 'Adam Marušić', 'Ivan Provedel']","[129706, 129454, 97087, 1923, 827, 129202, 524055, 131999, 30482209, 62427, 132128]"
2,18867409,384,2930,708,Inter,Atalanta,1,1,"['Yann Sommer', 'Denzel Dumfries', 'Stefan de Vrij', 'Marcus Thuram', 'Lautaro Martínez', 'Francesco Acerbi\xa0', 'Hakan Calhanoglu', 'Henrikh Mkhitaryan', 'Nicolò Barella', 'Benjamin Pavard', 'Federico Dimarco']","[32193, 26027, 24015, 99000, 333594, 128873, 31825, 1835, 130117, 35574, 129842]","['Juan Musso', 'Teun Koopmeiners', 'Ademola Lookman', 'Éderson', 'Marten de Roon', 'Berat Djimsiti', 'Matteo Ruggeri', 'Sead Kolašinac', 'Giorgio Scalvini', 'Davide Zappacosta', 'Gianluca Scamacca']","[333616, 29184, 5321, 545244, 1717, 132671, 24837941, 31661, 37343966, 129440, 30178]"
3,18867408,384,8513,2714,Bologna,Sassuolo,1,1,"['Riccardo Orsolini', 'Remo Freuler', 'Joshua Zirkzee', 'Kevin Bonifazi', 'Lewis Ferguson', 'Michel Aebischer', 'Charalampos Lykogiannis', 'Łukasz Skorupski', 'Lorenzo De Silvestri', 'Sam Beukema', 'Riccardo Calafiori', 'Alexis Saelemaekers']","[132126, 130145, 9605680, 132025, 6648042, 198220, 52794, 129418, 127629, 3187861, 23278684, 538861]","['Martin Erlić', 'Andrea Pinamonti', 'Domenico Berardi', 'Nedim Bajrami', 'Gian Marco Ferrari', 'Matías Viña', 'Jeremy Toljan', 'Daniel Boloca', 'Kristian Thorstvedt', 'Armand Laurienté', 'Andrea Consigli']","[133712, 134034, 129553, 198736, 129971, 456276, 31855, 741626, 12016844, 432840, 128446]"
4,18867407,384,113,597,Milan,Napoli,2,2,"['Davide Calabria', 'Olivier Giroud', 'Rafael Leão', 'Christian Pulišić', 'Tijjani Reijnders', 'Mike Maignan', 'Theo Hernández', 'Pierre Kalulu', 'Fikayo Tomori', 'Rade Krunić', 'Yunus Musah']","[129769, 798, 540251, 32438, 3156873, 96227, 186995, 14726357, 4655, 129749, 28575698]","['Alex Meret', 'Natan', 'Mário Rui', 'Eljif Elmas', 'Amir Rrahmani\xa0', 'Piotr Zielinski', 'Matteo Politano', 'Giovanni Di Lorenzo', 'Stanislav Lobotka', 'Khvicha Kvaratskhelia', 'Giacomo Raspadori']","[129638, 37402346, 129604, 338180, 49420, 129072, 129926, 132721, 27850, 1479337, 13238937]"
5,18867406,384,1628,346,Monza,Udinese,1,1,"['Luca Caldirola', 'Roberto Gagliardini', 'Lorenzo Colombo', 'Michele Di Gregorio', 'Pablo Marí', 'Andrea Colpani', 'Matteo Pessina', 'Andrea Carboni', 'Georgios Kyriakopoulos', 'Samuele Vignato', 'Patrick Ciurria']","[23987, 129396, 32777439, 752045, 186159, 16120895, 367822, 37391070, 109096, 37568801, 132539]","['Marco Silvestri', 'Festy Ebosele', 'Isaac Success', 'Walace', 'Nehuén Pérez', 'Lazar Samardžić', 'Florian Thauvin', 'Christian Kabasele', 'Jaka Bijol', 'Martín Payero', 'Jordan Zemura', 'Roberto Pereyra']","[3178, 28912983, 4766, 33719, 8417290, 23707373, 4237, 4765, 1548632, 3526193, 25591503, 4764]"
6,18867405,384,7790,613,Lecce,Torino,0,1,"['Marin Pongracic', 'Federico Baschirotto', 'Pontus Almqvist', 'Hamza Rafia', 'Nikola Krstovic', 'Joan González', 'Valentin Gendrey', 'Ylber Ramadani', 'Lameck Banda', 'Antonino Gallo', 'Wladimiro Falcone']","[36681, 435939, 460392, 433508, 149150, 37667411, 8415421, 50828, 7714347, 21054913, 129272]","['Alessandro Buongiorno', 'Antonio Sanabria', 'Pietro Pellegri', 'Ricardo Rodríguez', 'Raoul Bellanova', 'Valentino Lazaro', 'Mërgim Vojvoda', 'Samuele Ricci', 'Vanja Milinkovic-Savic', 'Gvidas Gineitis', 'Karol Linetty']","[134056, 129941, 133957, 31653, 8417828, 52296, 44824, 20716664, 155896, 37598896, 130011]"
7,18867404,384,43,109,Lazio,Fiorentina,0,0,"['Patric', 'Felipe Anderson', 'Mattéo Guendouzi', 'Luis Alberto', 'Alessio Romagnoli', 'Valentin Castellanos', 'Mattia Zaccagni', 'Manuel Lazzari', 'Nicolò Rovella', 'Adam Marušić', 'Ivan Provedel']","[129706, 129454, 97087, 827, 129202, 524055, 129677, 131999, 30482209, 62427, 132128]","['Pietro Terracciano', 'Cristiano Biraghi', 'Nikola Milenković', 'Giacomo Bonaventura', 'Arthur', 'Lucas Beltrán', 'Nicolás González', 'Jonathan Ikoné', 'Lucas Martínez Quarta', 'Alfred Duncan', 'Fabiano Parisi']","[129203, 129400, 178032, 128736, 219920, 24818355, 215532, 96608, 334576, 129152, 37289275]"
8,18867403,384,625,1123,Juventus,Hellas Verona,1,0,"['Wojciech Szczęsny', 'Bremer', 'Federico Gatti', 'Manuel Locatelli', 'Dušan Vlahović', 'Filip Kostić', 'Weston McKennie', 'Moise Kean', 'Timothy Weah', 'Daniele Rugani', 'Adrien Rabiot']","[805, 1167415, 37533245, 129890, 177988, 24235, 608189, 133769, 537332, 129624, 95694]","['Lorenzo Montipò', 'Josh Doig', 'Davide Faraoni', 'Milan Đurić', 'Martin Hongla', 'Giangiacomo Magnani', 'Filippo Terracciano', 'Paweł Dawidowicz', 'Ondrej Duda', 'Michael Folorunsho', 'Federico Bonazzoli']","[131615, 37260591, 2832, 7802, 187074, 435908, 37518779, 35311, 33793, 368455, 129600]"
9,18867402,384,37,2930,Roma,Inter,0,1,"['Rui Patrício', 'Bryan Cristante', 'Evan Ndicka', 'Diego Llorente', 'Leandro Paredes', 'Gianluca Mancini', 'Rasmus Kristensen', 'Edoardo Bove', 'Nicola Zalewski', 'Romelu Lukaku', 'Stephan El Shaarawy']","[158453, 129467, 99534, 186595, 129419, 132259, 84528, 37546379, 23288607, 995, 96514]","['Yann Sommer', 'Denzel Dumfries', 'Marcus Thuram', 'Lautaro Martínez', 'Francesco Acerbi\xa0', 'Hakan Calhanoglu', 'Henrikh Mkhitaryan', 'Nicolò Barella', 'Benjamin Pavard', 'Federico Dimarco', 'Alessandro Bastoni']","[32193, 26027, 99000, 333594, 128873, 31825, 1835, 130117, 35574, 129842, 133797]"
