id,sport_id,league_id,tie_breaker_rule_id,name,finished,pending,is_current,starting_at,ending_at,standings_recalculated_at,games_in_current_week,league
21795,1,82,1526,2023/2024,False,False,True,2023-08-18,2024-05-18,2023-11-12 20:28:37,True,"{'id': 82, 'sport_id': 1, 'country_id': 11, 'name': 'Bundesliga', 'active': True, 'short_code': 'GER BI', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/82.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 18:30:00', 'category': 1, 'has_jerseys': False}"
21779,1,301,170,2023/2024,False,False,True,2023-08-11,2024-05-18,2023-11-16 12:47:49,True,"{'id': 301, 'sport_id': 1, 'country_id': 17, 'name': 'Ligue 1', 'active': True, 'short_code': 'FRA L1', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/13/301.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 19:45:00', 'category': 1, 'has_jerseys': False}"
21694,1,564,171,2023/2024,False,False,True,2023-08-11,2024-05-26,2023-11-12 21:56:52,True,"{'id': 564, 'sport_id': 1, 'country_id': 32, 'name': 'La Liga', 'active': True, 'short_code': 'ESP PL', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/20/564.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 20:00:00', 'category': 1, 'has_jerseys': False}"
21646,1,8,171,2023/2024,False,False,True,2023-08-11,2024-05-19,2023-11-12 18:35:46,True,"{'id': 8, 'sport_id': 1, 'country_id': 462, 'name': 'Premier League', 'active': True, 'short_code': 'UK PL', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/8/8.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 16:30:00', 'category': 1, 'has_jerseys': False}"
19799,1,564,170,2022/2023,True,False,False,2022-08-12,2023-06-04,2023-08-09 14:53:21,False,"{'id': 564, 'sport_id': 1, 'country_id': 32, 'name': 'La Liga', 'active': True, 'short_code': 'ESP PL', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/20/564.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 20:00:00', 'category': 1, 'has_jerseys': False}"
19745,1,301,171,2022/2023,True,False,False,2022-08-05,2023-06-03,2023-06-15 08:56:47,False,"{'id': 301, 'sport_id': 1, 'country_id': 17, 'name': 'Ligue 1', 'active': True, 'short_code': 'FRA L1', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/13/301.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 19:45:00', 'category': 1, 'has_jerseys': False}"
19744,1,82,171,2022/2023,True,False,False,2022-08-05,2023-05-27,2023-07-16 09:52:39,False,"{'id': 82, 'sport_id': 1, 'country_id': 11, 'name': 'Bundesliga', 'active': True, 'short_code': 'GER BI', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/82.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 18:30:00', 'category': 1, 'has_jerseys': False}"
19734,1,8,1526,2022/2023,True,False,False,2022-08-05,2023-05-28,2023-05-31 14:40:03,False,"{'id': 8, 'sport_id': 1, 'country_id': 462, 'name': 'Premier League', 'active': True, 'short_code': 'UK PL', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/8/8.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 16:30:00', 'category': 1, 'has_jerseys': False}"
18462,1,564,169,2021/2022,True,False,False,2021-08-13,2022-05-22,2023-05-24 09:21:57,False,"{'id': 564, 'sport_id': 1, 'country_id': 32, 'name': 'La Liga', 'active': True, 'short_code': 'ESP PL', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/20/564.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 20:00:00', 'category': 1, 'has_jerseys': False}"
18444,1,82,169,2021/2022,True,False,False,2021-08-13,2022-05-14,2023-05-24 09:21:51,False,"{'id': 82, 'sport_id': 1, 'country_id': 11, 'name': 'Bundesliga', 'active': True, 'short_code': 'GER BI', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/82.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 18:30:00', 'category': 1, 'has_jerseys': False}"
18441,1,301,169,2021/2022,True,False,False,2021-08-06,2022-05-21,2023-05-24 09:21:50,False,"{'id': 301, 'sport_id': 1, 'country_id': 17, 'name': 'Ligue 1', 'active': True, 'short_code': 'FRA L1', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/13/301.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 19:45:00', 'category': 1, 'has_jerseys': False}"
18378,1,8,1526,2021/2022,True,False,False,2021-08-13,2022-05-22,2023-05-24 09:21:33,False,"{'id': 8, 'sport_id': 1, 'country_id': 462, 'name': 'Premier League', 'active': True, 'short_code': 'UK PL', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/8/8.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 16:30:00', 'category': 1, 'has_jerseys': False}"
17480,1,564,169,2020/2021,True,False,False,2020-09-12,2021-05-23,2023-05-24 09:18:13,False,"{'id': 564, 'sport_id': 1, 'country_id': 32, 'name': 'La Liga', 'active': True, 'short_code': 'ESP PL', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/20/564.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 20:00:00', 'category': 1, 'has_jerseys': False}"
17420,1,8,1526,2020/2021,True,False,False,2020-09-12,2021-05-23,2023-05-24 09:17:59,False,"{'id': 8, 'sport_id': 1, 'country_id': 462, 'name': 'Premier League', 'active': True, 'short_code': 'UK PL', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/8/8.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 16:30:00', 'category': 1, 'has_jerseys': False}"
17361,1,82,169,2020/2021,True,False,False,2020-09-18,2021-05-22,2023-05-24 09:17:46,False,"{'id': 82, 'sport_id': 1, 'country_id': 11, 'name': 'Bundesliga', 'active': True, 'short_code': 'GER BI', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/82.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 18:30:00', 'category': 1, 'has_jerseys': False}"
17160,1,301,169,2020/2021,True,False,False,2020-08-21,2021-05-23,2023-05-24 09:16:56,False,"{'id': 301, 'sport_id': 1, 'country_id': 17, 'name': 'Ligue 1', 'active': True, 'short_code': 'FRA L1', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/13/301.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 19:45:00', 'category': 1, 'has_jerseys': False}"
